num__revenu_estime_mois,num__loyer_mensuel,num__risque_personnel,cat__sexe_F,cat__sexe_H,cat__sport_licence_non,cat__sport_licence_oui,cat__niveau_etude_aucun,cat__niveau_etude_bac,cat__niveau_etude_bac+2,cat__niveau_etude_doctorat,cat__niveau_etude_master,cat__region_Auvergne-Rhône-Alpes,cat__region_Bretagne,cat__region_Corse,cat__region_Hauts-de-France,cat__region_Normandie,cat__region_Occitanie,cat__region_Provence-Alpes-Côte d’Azur,cat__region_Île-de-France,cat__smoker_non,cat__smoker_oui,cat__situation_familiale_célibataire,cat__situation_familiale_divorcé,cat__situation_familiale_marié,cat__situation_familiale_veuf,cat__imc_cat_insuffisant,cat__imc_cat_normal,cat__imc_cat_obese,cat__imc_cat_surpoids,cat__age_bucket_adulte,cat__age_bucket_jeune,cat__age_bucket_retraite,cat__age_bucket_senior,montant_pret
0.05643376541258299,0.1705798321348693,0.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13157.101646368172
0.7500790388871325,1.0,0.79,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,32408.309271881208
0.5203920328801771,0.5190110867944494,0.13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17975.461375021725
0.441195067973443,1.0,0.32,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16004.737730594868
0.5363578880809359,0.5190110867944494,0.66,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10437.682759868923
0.328327537148277,0.5190110867944494,0.58,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,500.0
0.03382864369269681,0.1053192563911402,0.46,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,500.0
0.3365475814100538,1.0,0.22,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,500.0
0.16945937401201394,0.5190110867944494,0.85,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4494.300952230585
0.0,1.0,0.66,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,500.0
